Gene ID,AO1,AO2,B1,B2
NVE8179,106,129,136,174
NVE8180,512,496,536,457
NVE8181,79,89,95,57
NVE8182,58,51,41,28
NVE8183,8038,7266,8777,7978
NVE8184,83,98,129,116
NVE8186,28,22,29,30
NVE8187,131,101,150,120
NVE8188,158,134,197,172
NVE8189,63,53,37,38
NVE8190,110,79,197,153
NVE8191,81,76,105,98
NVE8192,445,388,456,395
NVE8193,7,12,9,4
NVE8194,944,967,629,516
NVE8195,9,8,2,3
NVE8196,416,424,354,290
NVE8197,35,183,1744,1480
NVE8199,512,447,976,824
NVE8200,50,36,128,108
NVE8201,13,12,9,10
NVE8202,494,485,308,308
NVE8203,704,792,790,716
NVE8204,332,296,338,294
NVE8205,178,151,209,147
NVE8206,265,241,298,244
NVE8207,119,116,167,164
NVE8208,29,19,36,30
NVE8209,73,72,109,104
NVE8210,325,327,354,316
NVE8211,12,13,21,20
NVE8212,123,103,85,79
NVE8213,171,139,180,131
NVE8214,0,0,0,1
NVE8215,9,5,7,7
NVE8216,56,40,76,83
NVE8217,175,140,173,160
NVE8218,365,367,471,402
NVE8219,820,721,470,468
NVE8220,373,337,317,299
NVE8221,409,366,251,217
NVE8222,233,212,209,168
NVE8223,20,19,57,35
NVE8224,81,100,122,100
NVE8225,357,344,336,318
NVE8226,1930,1640,81,84
NVE8227,410,368,64,74
NVE8228,33,33,38,27
NVE8229,41,32,25,32
NVE8230,2129,2186,2441,2153
NVE8232,3,2,8,8
NVE8233,301,268,418,336
NVE8234,158,143,335,275
NVE8235,380,317,411,334
NVE8236,660,629,743,600
NVE8237,46,38,33,38
NVE8238,1294,1196,1536,1340
NVE8240,22,13,96,53
NVE8241,343,331,349,297
NVE8242,569,533,520,432
NVE8243,7,12,8,8
NVE8244,16,13,15,18
NVE8245,9,9,11,18
NVE8246,2,0,1,1
NVE8247,161,147,176,146
NVE8248,164,124,112,106
NVE8249,88,72,81,80
NVE8250,3,2,1,4
NVE8251,640,647,589,475
NVE8252,1,0,0,0
NVE8253,20,15,24,19
NVE8255,1223,1168,673,679
NVE8256,31,36,63,49
NVE8257,539,555,459,396
NVE8258,9,14,8,14
NVE8259,98,84,110,78
NVE12992,6008,5785,10071,6997
NVE12843,756,767,872,802
NVE12856,200,214,297,260
NVE12869,20,13,13,15
NVE12887,353,304,518,409
NVE12903,221,205,223,198
NVE12911,1286,1179,975,887
NVE12925,42,40,41,21
NVE12930,987,739,1471,1331
NVE12938,445,345,900,731
NVE12947,998,989,1150,1072
NVE12959,234,197,232,194
NVE12970,85,64,145,125
NVE12986,324,327,272,248
NVE13031,206,203,324,184
NVE12819,107,89,65,72
NVE12820,2,4,5,5
NVE12821,479,426,598,487
NVE12822,328,272,241,262
NVE12823,1542,1520,2126,1840
NVE12824,60,65,71,70
NVE12825,34,23,15,22
NVE12826,1,2,31,31
NVE12827,257,183,349,268
NVE12828,1428,1367,1510,1267
NVE12829,11,9,21,15
NVE12830,13,9,18,12
NVE12831,27,18,47,54
NVE12832,23,25,18,18
NVE12833,141,130,119,126
NVE12834,2,4,4,2
NVE12835,7,8,13,13
NVE12836,13,15,46,32
NVE12837,3,1,3,3
NVE12838,6,4,3,2
NVE12839,84,84,149,132
NVE12840,223,212,410,294
NVE12841,505,474,719,656
NVE12842,70,113,57,59
NVE12844,384,294,346,261
NVE12845,286,279,345,273
NVE12846,78,90,133,92
NVE12847,83,71,100,70
NVE12848,1172,1084,1084,819
NVE12849,273,239,259,207
NVE12850,46,29,34,36
NVE12851,73,63,47,39
NVE12852,232,209,190,187
NVE12853,65,79,94,79
NVE12854,237,205,196,143
NVE12855,71,39,36,27
NVE12857,4310,3050,5519,4414
NVE12858,273,265,296,257
NVE12859,635,508,869,772
NVE12860,106,103,146,115
NVE12861,13,7,3,8
NVE12862,177,180,267,213
NVE12863,104,150,116,110
NVE12864,42,31,35,22
NVE12865,23,17,34,20
NVE12866,219,219,253,175
NVE12867,2997,2849,2909,2525
NVE12868,658,664,705,544
NVE12870,1,1,3,2
NVE12871,4,9,11,4
NVE12872,39,52,70,70
NVE12873,84,101,112,114
NVE12874,87,77,122,114
NVE12875,179,158,175,151
NVE12876,170,150,238,155
NVE12877,1047,852,214,187
NVE12878,393,361,523,441
NVE12879,3131,2546,3389,2846
NVE12880,254,214,207,211
NVE12881,30,26,27,14
NVE12882,36,37,29,51
NVE12883,31,31,50,39
NVE12884,82,64,119,106
NVE12885,838,849,820,782
NVE12886,3,4,8,1
NVE12888,148,118,194,142
NVE12889,207,198,232,190
NVE12890,136,132,112,116
NVE12891,1,5,14,14
NVE12892,7,5,3,6
NVE12893,5,10,13,4
NVE12894,21,19,26,23
NVE12895,379,353,88,90
NVE12896,387,370,243,256
NVE12897,30,31,23,28
NVE12898,79,78,147,112
NVE12899,748,642,553,521
NVE12900,16,24,16,13
NVE12901,183,150,222,199
NVE12902,33,20,19,21
NVE12904,105,82,133,116
NVE12905,734,672,670,576
NVE12906,55,50,72,55
NVE12907,468,434,374,364
NVE12908,39,47,18,12
NVE12909,1143,1153,1018,875
NVE12910,231,204,272,218
NVE12912,153,135,198,182
NVE12913,2,1,5,3
NVE12914,79,59,95,84
NVE12915,86,100,50,51
NVE12916,39,30,43,32
NVE12917,126,114,118,99
NVE12918,758,382,413,308
NVE12919,76,81,78,86
NVE12920,512,422,603,531
NVE12921,38,35,56,47
NVE12922,6,14,11,5
NVE12923,25,16,26,28
NVE12924,302,246,215,162
NVE12926,0,0,0,1
NVE12927,23,19,30,25
NVE12928,255,190,663,545
NVE12929,1,2,3,6
NVE12931,337,297,582,506
NVE12932,101,85,84,45
NVE12933,62,63,72,73
NVE12934,42,36,69,56
NVE12935,662,605,575,465
NVE12936,155,165,213,146
NVE12937,28,47,110,127
NVE12939,6,3,10,2
NVE12940,4,1,9,7
NVE12941,917,909,580,652
NVE12942,158,153,192,189
NVE12943,30,22,88,42
NVE12944,100,90,111,79
NVE12945,712,703,574,471
NVE12946,55,42,82,66
NVE12948,14,9,16,12
NVE12949,122,111,145,99
NVE12950,534,456,903,728
NVE12951,61,75,75,68
NVE12952,135,98,162,120
NVE12953,18,34,31,24
NVE12954,65,32,99,93
NVE12955,826,757,961,771
NVE12956,58,60,106,91
NVE12957,118,135,156,132
NVE12958,45,40,70,66
NVE12960,7,6,41,25
NVE12961,8,0,8,1
NVE12962,257,224,391,313
NVE12963,29,43,53,39
NVE12964,7,11,11,5
NVE12965,24,19,11,22
NVE12966,170,142,121,114
NVE12967,1096,1087,786,754
NVE12968,129,145,161,169
NVE12969,149,133,177,156
NVE12971,49,49,56,67
NVE12972,31,31,24,24
NVE12973,123,107,7,5
NVE12974,8,6,8,11
NVE12975,13,14,24,22
NVE12976,110,80,98,68
NVE12977,8,9,87,88
NVE12978,11,18,28,15
NVE12979,11,7,8,6
NVE12980,5,1,1,4
NVE12981,335,331,284,202
NVE12982,3,2,2,0
NVE12983,941,627,1171,958
NVE12984,33,44,42,44
NVE12985,62,57,92,76
NVE12987,56,42,75,94
NVE12988,72,57,72,70
NVE12989,64,74,88,77
